"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Black Rose Wars: Rebirth – Rotas Box","Expansion","For Sale","USD",200,"N/A","N/A","Ludus Magnus Studio","2954","N/A","N/A",3,"412735","699373","","2024-03-00","",""
"Black Rose Wars: Rebirth – Gaea Reborn","Expansion","For Sale","USD",40,"N/A","N/A","Ludus Magnus Studio","2954","N/A","N/A",4,"412689","705620","","2024-03-00","",""
"Black Rose Wars: Rebirth – Apocalypse","Expansion","For Sale","USD",60,"N/A","N/A","Ludus Magnus Studio","2954","N/A","N/A",5,"412687","705618","","2024-03-00","",""
"Expeditions: Gears of Corruption","Expansion","For Sale","USD",30,"N/A","N/A","Stonemaier Games","2909 (Meeple Source)","N/A","N/A",60,"421689","715102","","2024-07-26","",""
"Agree to Disagree","Standalone","For Sale","N/A","N/A","N/A","N/A","Adam's Apple Games, LLC","2469","N/A","N/A",21,"388659","661606","","2024-05-00","",""
"Portals","Standalone","For Sale","USD",45,"N/A","N/A","CrowD Games","1553","N/A","N/A",18,"386168","657525","","2023-11-07","",""
"Tatsumi","Standalone","Demo","N/A","N/A","N/A","N/A","Adam's Apple Games, LLC","2469","N/A","N/A",27,"366089","622033","","2025-00-00","Q3 2025",""
"Defenders of the Dictionary","Standalone","Demo","N/A","N/A","N/A","N/A","Adam's Apple Games, LLC","2469","N/A","N/A",23,"388641","661566","","2024-00-00","Q2 2025",""
"Planet Unknown: Supermoon","Expansion","Demo","N/A","N/A","N/A","N/A","Adam's Apple Games, LLC","2469","N/A","N/A",74,"393509","669469","","2024-00-00","Q3 2024",""
"Lata","Standalone","For Sale","N/A","N/A","N/A","N/A","Mayfair Games","2236","N/A","N/A",10,"374201","719690","MFG 5030","2024-07-00","",""
"Café","Standalone","For Sale","N/A","N/A","N/A","N/A","Mayfair Games","2236","N/A","N/A",21,"284936","719691","MFG 5020","2024-08-01","",""
"Primordial: Creatures of Pandemonium","Standalone","Demo","N/A","N/A","N/A","N/A","IMPOSTER Games","632 (Indie Game Alliance)","N/A","N/A",14,"366544","623147","","2025-00-00","",""
"HIT","Standalone","For Sale","N/A","N/A","N/A","N/A","Ravensburger","2001","N/A","N/A",8,"406706","690271","22456","2024-01-15","",""
"DC Deck-Building Game: Justice League Dark","Standalone","For Sale","N/A","N/A","N/A","N/A","Cryptozoic Entertainment","801","N/A","N/A",3,"394064","705993","","2024-06-00","",""
"DC Deck-Building Game: Rivals – Shazam! vs Black Adam","Standalone","For Sale","N/A","N/A","N/A","N/A","Cryptozoic Entertainment","801","N/A","N/A",3,"393385","669299","","2024-06-00","",""
"Epic Spell Wars of the Battle Wizards: Anarchy at the Arena","Standalone","For Sale","N/A","N/A","N/A","N/A","Cryptozoic Entertainment","801","N/A","N/A",3,"422611","716950","","2024-08-01","",""
"DC Deck-Building Game: Crossover Collection 2","Expansion","For Sale","N/A","N/A","N/A","N/A","Cryptozoic Entertainment","801","N/A","N/A",3,"395668","672769","","2024-08-01","",""
"DC Deck-Building Game: Crisis Collection 2","Expansion","For Sale","N/A","N/A","N/A","N/A","Cryptozoic Entertainment","801","N/A","N/A",4,"394336","670963","","2024-08-01","",""
"Tanto Cuore: Memento Mori – Twilight Manor","Standalone","Demo","N/A","N/A","N/A","N/A","Japanime Games","719","N/A","N/A",5,"373281","636814","JPG006","2024-08-00","",""
"Harrow County: The Game of Gothic Conflict","Standalone","For Sale","USD",60,"N/A","N/A","Off the Page Games","2211 (Surfin' Meeple)","N/A","N/A",17,"360899","607827","","2024-02-00","",""
"Corps of Discovery: A Game Set in the World of Manifest Destiny","Standalone","Demo","N/A","N/A","N/A","N/A","Off the Page Games","2211 (Surfin' Meeple)","N/A","N/A",16,"396895","674442","OTPGMD001","2025-01-00","",""
"Seers Catalog: Lyin' Werewolf Promo Card","Expansion","For Sale","USD",0.0001,"N/A","N/A","Bézier Games","3035","N/A","N/A",10,"425210","721556","","0000-00-00","",""
"Star Wars: Bounty Hunters","Standalone","For Sale","N/A","N/A","N/A","N/A","Zygomatic","809, 821, 929, 1109 (Asmodee)","N/A","N/A",6,"410655","696227","","2024-05-31","",""
"Oh My Pigeons!","Standalone","For Sale","N/A","N/A","N/A","N/A","Ravensburger","2001","N/A","N/A",18,"413435","700417","","2024-08-00","",""
"Warhammer Age of Sigmar: Skaventide","Standalone","For Sale","N/A","N/A","N/A","N/A","Games Workshop Ltd.","2411","N/A","N/A",9,"423697","718839","","2024-07-13","",""
"Ovation","Standalone","For Sale","N/A","N/A","N/A","N/A","Looking Glass Workshop","2838 (Grand Gamers Guild)","N/A","N/A",158,"326264","540681","","2024-00-00","",""
"Digsaw","Standalone","For Sale","USD",25,"N/A","N/A","Stronghold Games","2229","N/A","N/A",18,"412856","699547","","2024-03-07","",""
"Sherlock: The Game Is Afoot","Standalone","For Sale","USD",30,"N/A","N/A","Indie Boards & Cards","2229","N/A","N/A",19,"421328","714482","","0000-00-00","",""
"Impostor Syndrome","Standalone","For Sale","USD",25,"N/A","N/A","Indie Boards & Cards","2229","N/A","N/A",6,"421330","714486","","0000-00-00","",""
"Top Tier","Standalone","For Sale","USD",25,"N/A","N/A","Indie Boards & Cards","2229","N/A","N/A",8,"421395","714596","","2024-07-00","",""
"Astro Knights: Eternity","Standalone","For Sale","USD",50,"N/A","N/A","Indie Boards & Cards","2229","N/A","N/A",34,"386538","658302","","2024-02-21","",""
"Radlands: Cult of Chrome","Expansion","For Sale","USD",13,"N/A","N/A","Roxley","2663","N/A","N/A",97,"422233","716242","ROX905","0000-00-00","Q3 2024",""
"Skyrise","Standalone","For Sale","USD",65,"N/A","N/A","Roxley","2663","N/A","N/A",91,"298231","488022","ROX800","2024-05-15","",""
"Sushi Go! 10th Anniversary Edition","Standalone","For Sale","USD",30,"N/A","N/A","Gamewright","1807","N/A","N/A",46,"424972","721100","","2024-08-01","",""
"Parks: Roll & Hike","Standalone","For Sale","USD",25,"N/A","N/A","Keymaster Games","2113","N/A","N/A",85,"424980","721111","","2024-09-00","",""
"Disney Lorcana: Illumineer's Quest – Deep Trouble","Standalone","For Sale","N/A","N/A","N/A","N/A","Ravensburger","2001","N/A","N/A",11,"421547","714829","","2024-05-17","",""
"Gemstone Caverns","Standalone","For Sale","N/A","N/A","N/A","N/A","ThinkFun","2001 (Ravensburger)","N/A","N/A",8,"409052","693986","","2024-03-00","",""
"Tales of the Arthurian Knights","Standalone","Demo","N/A","N/A","N/A","N/A","WizKids (I)","711","N/A","N/A",56,"377704","645039","","2024-11-00","",""
"Agemonia","Standalone","For Sale","N/A","N/A","N/A","N/A","Lautapelit.fi","2763","N/A","N/A",42,"270871","442152","LPFI 930","2024-01-00","",""
"Eclipse: Second Dawn for the Galaxy – Warped Universe","Expansion","For Sale","N/A","N/A","N/A","N/A","Lautapelit.fi","2763","N/A","N/A",14,"381605","651835","","2024-04-00","",""
"Eclipse: Second Dawn for the Galaxy – Outcasts","Expansion","For Sale","N/A","N/A","N/A","N/A","Lautapelit.fi","2763","N/A","N/A",17,"368378","626861","","2024-04-00","",""
"Eclipse: Second Dawn for the Galaxy – Seekers","Expansion","For Sale","N/A","N/A","N/A","N/A","Lautapelit.fi","2763","N/A","N/A",16,"368377","626860","","2024-04-00","",""
"Aerodome: Rising Horizons","Standalone","For Sale","USD",40,"N/A","N/A","Ephyrean Games","560","N/A","N/A",12,"345194","575987","","2023-12-09","",""
"Honey Buzz: Fall Flavors","Expansion","For Sale","USD",40,"N/A","N/A","Elf Creek Games","2658","N/A","N/A",100,"349725","584987","","2024-07-09","",""
"The Paradox Initiative","Standalone","Demo","N/A","N/A","N/A","N/A","Elf Creek Games","2658","N/A","N/A",39,"332614","553399","","2023-00-00","Q3 2024",""
"Merchants of the Dark Road: Secret Villages","Expansion","Demo","N/A","N/A","N/A","N/A","Elf Creek Games","2658","N/A","N/A",46,"419864","711764","","0000-00-00","Q4 2024",""
"Clans of Midgard","Standalone","For Sale","USD",35,"N/A","N/A","Grey Fox Games","2811","N/A","N/A",26,"382804","654038","","2024-00-00","Q2 2024",""
"Reavers of Midgard: The Card Game","Standalone","For Sale","USD",40,"N/A","N/A","Grey Fox Games","2811","N/A","N/A",18,"394072","670368","","2024-00-00","Q2 2024",""
"Lords of Baseball","Standalone","For Sale","N/A","N/A","N/A","N/A","Mr. B Games","2236","N/A","N/A",41,"97155","95458","","2024-08-00","",""
"Dragons Down","Standalone","Demo","N/A","N/A","N/A","N/A","Mr. B Games","2236","N/A","N/A",33,"351648","588395","","2024-10-00","",""
"Thunder Rolls: The Garage Expansion","Expansion","Demo","N/A","N/A","N/A","N/A","Mr. B Games","2236","N/A","N/A",6,"390146","664016","","2024-09-00","",""
"Spotlight","Standalone","For Sale","USD",25,"N/A","N/A","Horrible Guild","1354","N/A","N/A",19,"420876","713657","","2024-08-01","",""
"Neopets Battledome Trading Card Game","Standalone","For Sale","N/A","N/A","N/A","N/A","Upper Deck Entertainment","1205","N/A","N/A",6,"395813","672945","","2024-06-26","",""
"Cities","Standalone","For Sale","N/A","N/A","N/A","N/A","Devir","2827","N/A","N/A",339,"402676","683350","","2024-07-00","",""
"Rock Hard: 1977","Standalone","For Sale","N/A","N/A","N/A","N/A","Devir","2827","N/A","N/A",565,"402679","683355","","2024-08-00","",""
"Finding Atlantis","Standalone","For Sale","N/A","N/A","N/A","N/A","Synapses Games","1521","N/A","N/A",28,"363699","686453","FA01EN","2024-04-05","",""
"Yokohama","Standalone","For Sale","N/A","N/A","N/A","N/A","Synapses Games","1521","N/A","N/A",178,"196340","681732","YOK01EN","2024-08-16","",""
"Tanuki","Standalone","For Sale","N/A","N/A","N/A","N/A","Synapses Games","1521","N/A","N/A",21,"375923","641933","TAN01EN","2024-02-16","",""
"Alibi: 3 Intricate Mysteries","Standalone","For Sale","N/A","N/A","N/A","N/A","DV Games","2109","N/A","N/A",7,"378953","647449","DVG9056","2024-04-00","",""
"BANG! Legends","Expansion","For Sale","N/A","N/A","N/A","N/A","DV Games","2109","N/A","N/A",15,"401241","680800","","2024-05-00","",""
"Undaunted 2200: Callisto","Standalone","For Sale","USD",85,"N/A","N/A","Osprey Games","2805","N/A","N/A",270,"401978","682029","","2024-09-12","",""
"Sirens","Standalone","For Sale","USD",15,"N/A","N/A","Envy Born Games","3058","N/A","N/A",75,"375616","641364","BBO600","2024-05-00","",""
"Defrag","Standalone","For Sale","USD",15,"N/A","N/A","Envy Born Games","3058","N/A","N/A",47,"376284","642515","BBO601","2024-05-00","",""
"Flutter","Standalone","For Sale","USD",35,"N/A","N/A","Phase Shift Games","271","N/A","N/A",15,"369010","628160","","2024-05-01","",""
"Obelus","Standalone","For Sale","USD",20,"N/A","N/A","Phase Shift Games","271","N/A","N/A",14,"370398","631428","","2024-05-00","",""
"Boblin's Rebellion","Standalone","For Sale","USD",25,"N/A","N/A","Phase Shift Games","271","N/A","N/A",15,"370399","631429","","2024-05-00","",""
"Star Realms Academy","Standalone","For Sale","USD",30,"N/A","N/A","Wacky Wizard Games","2655","N/A","N/A",18,"407812","691890","","2024-00-00","Q3 2024",""
"Captain Flip","Standalone","For Sale","N/A","N/A","N/A","N/A","PlayPunk","1321-demos / 1429-sales (Flat River Group)","N/A","N/A",109,"393325","669201","PPCF38082","2024-03-00","",""
"Medieval Academy","Standalone","Demo","N/A","N/A","N/A","N/A","Blue Cocker Games","1321-demos / 1429-sales (Flat River Group)","N/A","N/A",28,"392448","702511","MA_V2_EN_01","2024-05-03","",""
"Runemasters","Standalone","For Sale","N/A","N/A","N/A","N/A","Funforge","1321-demos / 1429-sales (Flat River Group)","N/A","N/A",24,"391766","666831","RUNUS01","2024-07-05","",""
"Tapas","Standalone","Demo","N/A","N/A","N/A","N/A","Funforge","1321-demos / 1429-sales (Flat River Group)","N/A","N/A",14,"417487","716783","TAPUS01","2024-08-01","",""
"Far Cry: Escape from Rook Islands","Standalone","Demo","N/A","N/A","N/A","N/A","Funforge","1321-demos / 1429-sales (Flat River Group)","N/A","N/A",21,"347935","581536","FCRYUS01","2024-08-01","",""
"Evolution: Another World","Standalone","For Sale","USD",35,"N/A","N/A","CrowD Games","1553","N/A","N/A",52,"381992","652471","","2024-03-01","",""
"It's Obvious","Standalone","For Sale","USD",15,"N/A","N/A","Friendly Skeleton","2343","N/A","N/A",10,"423188","717922","","2024-00-00","",""
"Phase 10 Flip!","Standalone","For Sale","N/A","N/A","N/A","N/A","Mattel, Inc.","1035","N/A","N/A",9,"423153","717864","HYN12","2024-07-00","",""
"UNO Flip Attack","Standalone","For Sale","N/A","N/A","N/A","N/A","Mattel, Inc.","1035","N/A","N/A",5,"423154","717865","HXT54","2024-07-00","",""
